presentationZoneId,displayName,assignedMeterCount,physicallyContainedMeterCount,outsideAssignedCount,activeCount,inactiveCount,retiredCount,assignedMeterCodes,containedMeterCodes,mismatchMeterCodes
pres-berth,Cầu cảng,3,2,1,3,0,0,CT-003; CT-004; CT-008,CT-003; CT-004,CT-008
pres-container-west,Bãi container phía Tây,2,2,0,2,0,0,CT-002; CT-005,CT-002; CT-005,
pres-container-center,Bãi container trung tâm,2,3,0,2,0,0,CT-011; CT-012,CT-008; CT-011; CT-012,
pres-cfs-east,Kho / CFS phía Đông,1,1,0,1,0,0,CT-006,CT-006,
pres-technical,Khu kỹ thuật / Dịch vụ,3,0,3,3,0,0,CT-001; CT-007; CT-009,,CT-001; CT-007; CT-009
pres-gate,Cổng chính,1,0,1,1,0,0,CT-010,,CT-010
